Kommune - sannsynlighet for bosetting (basert pa antall vedtatte flyktninger)
Total (sum av vedtatte tall): 9853
Presisjon: 2 desimaler
--------------------------------------------------------------------------------
Oslo | Oslo: 6.09%  (vedtatt å bosette: 600)
Trøndelag | Trondheim: 4.57%  (vedtatt å bosette: 450)
Vestland | Bergen: 2.03%  (vedtatt å bosette: 200)
Nordland | Bodø: 1.78%  (vedtatt å bosette: 175)
Vestfold | Tønsberg: 1.75%  (vedtatt å bosette: 172)
Rogaland | Stavanger: 1.66%  (vedtatt å bosette: 164)
Agder | Kristiansand: 1.62%  (vedtatt å bosette: 160)
Troms | Harstad: 1.52%  (vedtatt å bosette: 150)
Troms | Tromsø: 1.52%  (vedtatt å bosette: 150)
Trøndelag | Levanger: 1.47%  (vedtatt å bosette: 145)
Buskerud | Kongsberg: 1.17%  (vedtatt å bosette: 115)
Nordland | Narvik: 1.17%  (vedtatt å bosette: 115)
Akershus | Bærum: 1.01%  (vedtatt å bosette: 100)
Møre og Romsdal | Ålesund: 1.01%  (vedtatt å bosette: 100)
Rogaland | Sandnes: 1.01%  (vedtatt å bosette: 100)
Buskerud | Ringerike: 0.96%  (vedtatt å bosette: 95)
Agder | Arendal: 0.86%  (vedtatt å bosette: 85)
Vestland | Alver: 0.86%  (vedtatt å bosette: 85)
Akershus | Lillestrøm: 0.78%  (vedtatt å bosette: 77)
Møre og Romsdal | Kristiansund: 0.76%  (vedtatt å bosette: 75)
Trøndelag | Verdal: 0.76%  (vedtatt å bosette: 75)
Vestland | Kinn: 0.76%  (vedtatt å bosette: 75)
Finnmark | Alta: 0.71%  (vedtatt å bosette: 70)
Finnmark | Vadsø: 0.68%  (vedtatt å bosette: 67)
Rogaland | Haugesund: 0.67%  (vedtatt å bosette: 66)
Agder | Grimstad: 0.66%  (vedtatt å bosette: 65)
Trøndelag | Heim: 0.66%  (vedtatt å bosette: 65)
Akershus | Nittedal: 0.63%  (vedtatt å bosette: 62)
Agder | Lindesnes: 0.61%  (vedtatt å bosette: 60)
Troms | Senja: 0.61%  (vedtatt å bosette: 60)
Trøndelag | Oppdal: 0.61%  (vedtatt å bosette: 60)
Trøndelag | Steinkjer: 0.61%  (vedtatt å bosette: 60)
